frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,delta_all_body,delta_head,delta_upper_body,delta_lower_body,delta_arms,delta_legs,delta_left_arm,delta_right_arm,delta_left_leg,delta_right_leg,delta_left_shoulder,delta_right_shoulder,delta_left_elbow,delta_right_elbow,delta_left_wrist,delta_right_wrist,delta_left_hip,delta_right_hip,delta_left_knee,delta_right_knee,delta_left_ankle,delta_right_ankle
535,40,2,2,1950,0.055,0.002,0.03,-0.029,0.03,-0.029,-0.01,-0.026,-0.014,-0.018,0.003,0.003,0.005,0.003,0.002,0.012,0.002,0.002,0.002,0.0,0.002,0.002
540,41,2,2,1950,0.23,0.029,0.147,0.057,0.147,0.057,0.018,0.093,0.001,0.024,0.004,0.011,0.001,0.02,0.023,0.08,0.001,0.003,0.003,0.022,0.003,0.003
545,42,2,2,1950,-0.132,0.016,0.039,0.046,0.039,0.046,0.05,0.1,0.051,0.02,0.023,0.02,0.032,0.082,0.023,0.109,0.017,0.003,0.004,0.041,0.037,0.004
550,43,2,2,1950,-0.526,0.03,-0.335,-0.12,-0.335,-0.12,-0.04,-0.145,-0.034,-0.015,0.018,0.017,0.01,0.02,0.01,0.029,0.005,0.002,0.01,0.026,0.009,0.005
555,44,2,2,1950,0.626,0.015,0.156,0.03,0.156,0.03,0.003,-0.032,0.0,-0.019,0.014,0.005,0.017,0.016,0.01,0.013,0.002,0.001,0.005,0.012,0.017,0.001
560,45,2,2,1950,-0.07,0.015,-0.002,0.118,-0.002,0.118,-0.021,-0.01,0.028,0.071,0.006,0.005,0.011,0.007,0.003,0.012,0.014,0.01,0.008,0.047,0.03,0.028
565,46,2,2,1950,-0.229,0.002,0.049,-0.149,0.049,-0.149,0.002,0.016,-0.019,-0.031,0.007,0.01,0.004,0.008,0.011,0.022,0.01,0.011,0.003,0.027,0.02,0.016
570,47,2,2,1950,0.126,0.013,-0.024,0.039,-0.024,0.039,0.0,-0.006,-0.005,-0.006,0.008,0.007,0.009,0.021,0.005,0.006,0.008,0.009,0.003,0.022,0.017,0.017
575,48,2,2,1950,0.143,0.048,0.125,-0.002,0.125,-0.002,0.079,0.04,0.004,-0.017,0.042,0.042,0.033,0.007,0.026,0.025,0.025,0.018,0.001,0.01,0.006,0.003
595,0,3,3,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,1,3,3,1950,0.03,0.005,0.016,0.009,0.016,0.009,0.007,0.009,0.006,0.003,0.003,0.004,0.002,0.004,0.002,0.001,0.002,0.001,0.003,0.001,0.001,0.001
605,2,3,3,1950,-0.058,0.003,-0.023,-0.008,-0.023,-0.008,-0.003,-0.004,0.001,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.0,0.004,0.002,0.002,0.001
610,3,3,3,1950,0.039,0.003,0.008,0.0,0.008,0.0,0.003,-0.002,-0.001,0.002,0.002,0.0,0.003,0.001,0.002,0.002,0.002,0.002,0.003,0.001,0.001,0.002
615,4,3,3,1950,-0.019,0.003,-0.005,-0.006,-0.005,-0.006,-0.005,0.001,-0.003,-0.002,0.001,0.001,0.001,0.001,0.0,0.002,0.002,0.002,0.0,0.0,0.001,0.001
620,5,3,3,1950,0.045,0.002,0.03,0.005,0.03,0.005,0.02,0.006,0.001,-0.001,0.001,0.002,0.008,0.004,0.013,0.004,0.001,0.001,0.003,0.001,0.0,0.0
